channel-1,channel-10,channel-11,channel-12,channel-13,channel-14,channel-15,channel-16,channel-17,channel-18,channel-19,channel-2,channel-20,channel-21,channel-22,channel-23,channel-24,channel-25,channel-26,channel-27,channel-28,channel-29,channel-3,channel-30,channel-31,channel-32,channel-33,channel-34,channel-35,channel-36,channel-37,channel-38,channel-39,channel-4,channel-40,channel-41,channel-42,channel-43,channel-44,channel-45,channel-46,channel-47,channel-48,channel-49,channel-5,channel-50,channel-51,channel-52,channel-53,channel-54,channel-55,channel-56,channel-57,channel-58,channel-59,channel-6,channel-60,channel-61,channel-62,channel-63,channel-64,channel-7,channel-8,channel-9,posix
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894595394
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894594393
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894593391
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894592391
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894591388
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894590388
RED,RED,YELLOW,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,YELLOW,1490894589388
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894587986
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894586985
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894585984
